title,price,area_sqm,bedrooms,bathrooms,property_type,furnishing,location,description,url,scraped_at,source,price_per_sqm,log_price,city
Villa in Giza,5055978,184,6,5,Villa,Unfurnished,Giza,"Beautiful villa in Giza. 6 bedrooms, 5 bathrooms, 184 sqm. Unfurnished.",https://example.com/property/52,2026-05-04T18:39:28.475630,sample,27478.141304347828,15.436082061319192,Giza
Apartment in New Cairo,2658579,180,2,1,Apartment,Unfurnished,New Cairo,"Beautiful apartment in New Cairo. 2 bedrooms, 1 bathrooms, 180 sqm. Unfurnished.",https://example.com/property/53,2026-05-04T18:39:28.475633,sample,14769.883333333333,14.793302703631001,Cairo
Villa in Alexandria,5947011,265,5,4,Villa,Furnished,Alexandria,"Beautiful villa in Alexandria. 5 bedrooms, 4 bathrooms, 265 sqm. Furnished.",https://example.com/property/54,2026-05-04T18:39:28.475636,sample,22441.550943396225,15.598399466510807,Alexandria
Townhouse in New Cairo,1700183,135,2,1,Townhouse,Semi-furnished,New Cairo,"Beautiful townhouse in New Cairo. 2 bedrooms, 1 bathrooms, 135 sqm. Semi-furnished.",https://example.com/property/55,2026-05-04T18:39:28.475641,sample,12593.948148148149,14.346247038463545,Cairo
Duplex in 6th October,1822592,131,2,3,Duplex,Unfurnished,6th October,"Beautiful duplex in 6th October. 2 bedrooms, 3 bathrooms, 131 sqm. Unfurnished.",https://example.com/property/56,2026-05-04T18:39:28.475644,sample,13912.91603053435,14.41577077036961,6th October
Apartment in Alexandria,1559556,66,2,2,Apartment,Furnished,Alexandria,"Beautiful apartment in Alexandria. 2 bedrooms, 2 bathrooms, 66 sqm. Furnished.",https://example.com/property/57,2026-05-04T18:39:28.475647,sample,23629.636363636364,14.259912364538392,Alexandria
Townhouse in 6th October,2437788,219,4,2,Townhouse,Semi-furnished,6th October,"Beautiful townhouse in 6th October. 4 bedrooms, 2 bathrooms, 219 sqm. Semi-furnished.",https://example.com/property/58,2026-05-04T18:39:28.475650,sample,11131.452054794521,14.706602038928535,6th October
Duplex in Sheikh Zayed,5600258,250,4,3,Duplex,Semi-furnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 4 bedrooms, 3 bathrooms, 250 sqm. Semi-furnished.",https://example.com/property/59,2026-05-04T18:39:28.475654,sample,22401.032,15.538323404635879,Sheikh Zayed
Studio in New Cairo,459614,49,0,1,Studio,Unfurnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 49 sqm. Unfurnished.",https://example.com/property/60,2026-05-04T18:39:28.475657,sample,9379.877551020409,13.038144461499877,Cairo
Duplex in Sheikh Zayed,2879942,155,3,4,Duplex,Unfurnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 3 bedrooms, 4 bathrooms, 155 sqm. Unfurnished.",https://example.com/property/61,2026-05-04T18:39:28.475660,sample,18580.270967741937,14.873281060249605,Sheikh Zayed
Apartment in 6th October,1402107,100,2,1,Apartment,Semi-furnished,6th October,"Beautiful apartment in 6th October. 2 bedrooms, 1 bathrooms, 100 sqm. Semi-furnished.",https://example.com/property/62,2026-05-04T18:39:28.475673,sample,14021.07,14.153487376420069,6th October
Apartment in Giza,1768232,145,3,4,Apartment,Unfurnished,Giza,"Beautiful apartment in Giza. 3 bedrooms, 4 bathrooms, 145 sqm. Unfurnished.",https://example.com/property/63,2026-05-04T18:39:28.475677,sample,12194.703448275863,14.385491300826855,Giza
Studio in New Cairo,465634,40,0,1,Studio,Semi-furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 40 sqm. Semi-furnished.",https://example.com/property/64,2026-05-04T18:39:28.475680,sample,11640.85,13.051157344395412,Cairo
Studio in Giza,715444,56,0,1,Studio,Semi-furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 56 sqm. Semi-furnished.",https://example.com/property/65,2026-05-04T18:39:28.475684,sample,12775.785714285714,13.480660005701893,Giza
Duplex in New Cairo,2710689,126,4,3,Duplex,Semi-furnished,New Cairo,"Beautiful duplex in New Cairo. 4 bedrooms, 3 bathrooms, 126 sqm. Semi-furnished.",https://example.com/property/66,2026-05-04T18:39:28.475687,sample,21513.404761904763,14.812713772993735,Cairo
Duplex in New Cairo,3345694,232,4,2,Duplex,Semi-furnished,New Cairo,"Beautiful duplex in New Cairo. 4 bedrooms, 2 bathrooms, 232 sqm. Semi-furnished.",https://example.com/property/67,2026-05-04T18:39:28.475690,sample,14421.094827586207,15.023185002757904,Cairo
Studio in Cairo,427459,31,0,1,Studio,Furnished,Cairo,"Beautiful studio in Cairo. 0 bedrooms, 1 bathrooms, 31 sqm. Furnished.",https://example.com/property/68,2026-05-04T18:39:28.475693,sample,13789.0,12.965615995729802,Cairo
Villa in Giza,9027997,379,5,6,Villa,Semi-furnished,Giza,"Beautiful villa in Giza. 5 bedrooms, 6 bathrooms, 379 sqm. Semi-furnished.",https://example.com/property/69,2026-05-04T18:39:28.475697,sample,23820.572559366756,16.015841195386532,Giza
Townhouse in Alexandria,3155247,243,4,5,Townhouse,Unfurnished,Alexandria,"Beautiful townhouse in Alexandria. 4 bedrooms, 5 bathrooms, 243 sqm. Unfurnished.",https://example.com/property/70,2026-05-04T18:39:28.475700,sample,12984.555555555555,14.964577656256482,Alexandria
Townhouse in Alexandria,2011110,153,2,1,Townhouse,Furnished,Alexandria,"Beautiful townhouse in Alexandria. 2 bedrooms, 1 bathrooms, 153 sqm. Furnished.",https://example.com/property/71,2026-05-04T18:39:28.475703,sample,13144.509803921568,14.514197863651214,Alexandria
Apartment in New Cairo,2588578,153,3,3,Apartment,Furnished,New Cairo,"Beautiful apartment in New Cairo. 3 bedrooms, 3 bathrooms, 153 sqm. Furnished.",https://example.com/property/72,2026-05-04T18:39:28.475706,sample,16918.81045751634,14.766619634464329,Cairo
Apartment in Alexandria,2278855,131,4,3,Apartment,Unfurnished,Alexandria,"Beautiful apartment in Alexandria. 4 bedrooms, 3 bathrooms, 131 sqm. Unfurnished.",https://example.com/property/73,2026-05-04T18:39:28.475710,sample,17395.83969465649,14.639184120623804,Alexandria
Apartment in 6th October,2060276,93,4,3,Apartment,Furnished,6th October,"Beautiful apartment in 6th October. 4 bedrooms, 3 bathrooms, 93 sqm. Furnished.",https://example.com/property/74,2026-05-04T18:39:28.475713,sample,22153.505376344085,14.538350997745436,6th October
Duplex in Sheikh Zayed,3286888,145,2,3,Duplex,Furnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 2 bedrooms, 3 bathrooms, 145 sqm. Furnished.",https://example.com/property/75,2026-05-04T18:39:28.475717,sample,22668.193103448277,15.005452082681574,Sheikh Zayed
Townhouse in Sheikh Zayed,3106959,203,5,3,Townhouse,Semi-furnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 5 bedrooms, 3 bathrooms, 203 sqm. Semi-furnished.",https://example.com/property/76,2026-05-04T18:39:28.475721,sample,15305.216748768473,14.949155314137178,Sheikh Zayed
Apartment in New Cairo,2829361,151,4,2,Apartment,Unfurnished,New Cairo,"Beautiful apartment in New Cairo. 4 bedrooms, 2 bathrooms, 151 sqm. Unfurnished.",https://example.com/property/77,2026-05-04T18:39:28.475724,sample,18737.490066225164,14.855561802507507,Cairo
Studio in Giza,421078,57,0,1,Studio,Semi-furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 57 sqm. Semi-furnished.",https://example.com/property/78,2026-05-04T18:39:28.475727,sample,7387.333333333333,12.950575743516806,Giza
Townhouse in New Cairo,3879447,251,5,4,Townhouse,Unfurnished,New Cairo,"Beautiful townhouse in New Cairo. 5 bedrooms, 4 bathrooms, 251 sqm. Unfurnished.",https://example.com/property/79,2026-05-04T18:39:28.475730,sample,15455.964143426294,15.171203433437162,Cairo
Duplex in New Cairo,3005952,173,2,3,Duplex,Furnished,New Cairo,"Beautiful duplex in New Cairo. 2 bedrooms, 3 bathrooms, 173 sqm. Furnished.",https://example.com/property/80,2026-05-04T18:39:28.475733,sample,17375.445086705204,14.916105213776948,Cairo
Townhouse in Cairo,3570552,273,4,3,Townhouse,Unfurnished,Cairo,"Beautiful townhouse in Cairo. 4 bedrooms, 3 bathrooms, 273 sqm. Unfurnished.",https://example.com/property/81,2026-05-04T18:39:28.475736,sample,13078.945054945056,15.088231043720537,Cairo
Apartment in New Cairo,1925535,103,1,2,Apartment,Furnished,New Cairo,"Beautiful apartment in New Cairo. 1 bedrooms, 2 bathrooms, 103 sqm. Furnished.",https://example.com/property/82,2026-05-04T18:39:28.475740,sample,18694.514563106797,14.470714928504806,Cairo
Townhouse in Alexandria,3443551,256,3,2,Townhouse,Unfurnished,Alexandria,"Beautiful townhouse in Alexandria. 3 bedrooms, 2 bathrooms, 256 sqm. Unfurnished.",https://example.com/property/83,2026-05-04T18:39:28.475743,sample,13451.37109375,15.052014054767639,Alexandria
Townhouse in Alexandria,3486833,205,5,5,Townhouse,Unfurnished,Alexandria,"Beautiful townhouse in Alexandria. 5 bedrooms, 5 bathrooms, 205 sqm. Unfurnished.",https://example.com/property/84,2026-05-04T18:39:28.475746,sample,17008.941463414634,15.064504719133161,Alexandria
Studio in Sheikh Zayed,387572,35,0,1,Studio,Unfurnished,Sheikh Zayed,"Beautiful studio in Sheikh Zayed. 0 bedrooms, 1 bathrooms, 35 sqm. Unfurnished.",https://example.com/property/85,2026-05-04T18:39:28.475749,sample,11073.485714285714,12.867659497129692,Sheikh Zayed
Townhouse in Sheikh Zayed,3507020,190,5,6,Townhouse,Furnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 5 bedrooms, 6 bathrooms, 190 sqm. Furnished.",https://example.com/property/86,2026-05-04T18:39:28.475752,sample,18458.0,15.07027751712834,Sheikh Zayed
Duplex in Alexandria,4627338,245,4,2,Duplex,Furnished,Alexandria,"Beautiful duplex in Alexandria. 4 bedrooms, 2 bathrooms, 245 sqm. Furnished.",https://example.com/property/87,2026-05-04T18:39:28.475756,sample,18887.093877551022,15.347492530820212,Alexandria
Studio in Giza,552761,56,0,1,Studio,Semi-furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 56 sqm. Semi-furnished.",https://example.com/property/88,2026-05-04T18:39:28.475758,sample,9870.732142857143,13.222682808117693,Giza
Studio in Alexandria,360251,34,0,1,Studio,Semi-furnished,Alexandria,"Beautiful studio in Alexandria. 0 bedrooms, 1 bathrooms, 34 sqm. Semi-furnished.",https://example.com/property/89,2026-05-04T18:39:28.475761,sample,10595.617647058823,12.794559065546567,Alexandria
Townhouse in New Cairo,3813539,298,5,3,Townhouse,Unfurnished,New Cairo,"Beautiful townhouse in New Cairo. 5 bedrooms, 3 bathrooms, 298 sqm. Unfurnished.",https://example.com/property/90,2026-05-04T18:39:28.475764,sample,12797.110738255034,15.154068449583473,Cairo
Townhouse in Giza,2844443,289,3,4,Townhouse,Unfurnished,Giza,"Beautiful townhouse in Giza. 3 bedrooms, 4 bathrooms, 289 sqm. Unfurnished.",https://example.com/property/91,2026-05-04T18:39:28.475767,sample,9842.363321799308,14.86087817586356,Giza
Townhouse in Alexandria,4008759,157,5,6,Townhouse,Semi-furnished,Alexandria,"Beautiful townhouse in Alexandria. 5 bedrooms, 6 bathrooms, 157 sqm. Semi-furnished.",https://example.com/property/92,2026-05-04T18:39:28.475771,sample,25533.496815286624,15.203992524529577,Alexandria
Duplex in New Cairo,3393671,177,3,1,Duplex,Unfurnished,New Cairo,"Beautiful duplex in New Cairo. 3 bedrooms, 1 bathrooms, 177 sqm. Unfurnished.",https://example.com/property/93,2026-05-04T18:39:28.475775,sample,19173.282485875705,15.037423078974845,Cairo
Apartment in Giza,1992370,184,2,2,Apartment,Furnished,Giza,"Beautiful apartment in Giza. 2 bedrooms, 2 bathrooms, 184 sqm. Furnished.",https://example.com/property/94,2026-05-04T18:39:28.475778,sample,10828.097826086956,14.504835944765157,Giza
Duplex in Alexandria,2941251,176,4,4,Duplex,Semi-furnished,Alexandria,"Beautiful duplex in Alexandria. 4 bedrooms, 4 bathrooms, 176 sqm. Semi-furnished.",https://example.com/property/95,2026-05-04T18:39:28.475782,sample,16711.653409090908,14.894345899006478,Alexandria
Villa in Giza,4321081,167,4,2,Villa,Semi-furnished,Giza,"Beautiful villa in Giza. 4 bedrooms, 2 bathrooms, 167 sqm. Semi-furnished.",https://example.com/property/96,2026-05-04T18:39:28.475785,sample,25874.736526946108,15.279016391822644,Giza
Apartment in New Cairo,1253207,61,1,2,Apartment,Semi-furnished,New Cairo,"Beautiful apartment in New Cairo. 1 bedrooms, 2 bathrooms, 61 sqm. Semi-furnished.",https://example.com/property/97,2026-05-04T18:39:28.475788,sample,20544.377049180326,14.041217221697634,Cairo
Villa in Alexandria,5497715,197,5,6,Villa,Unfurnished,Alexandria,"Beautiful villa in Alexandria. 5 bedrooms, 6 bathrooms, 197 sqm. Unfurnished.",https://example.com/property/98,2026-05-04T18:39:28.475792,sample,27907.18274111675,15.519843291225829,Alexandria
Townhouse in Cairo,3264670,198,4,4,Townhouse,Unfurnished,Cairo,"Beautiful townhouse in Cairo. 4 bedrooms, 4 bathrooms, 198 sqm. Unfurnished.",https://example.com/property/99,2026-05-04T18:39:28.475795,sample,16488.23232323232,14.99866954991868,Cairo
